Term,Class 1 Frequency,Class -1 Frequency
ad-jerry,1,0
ad-bruckheimer,1,0
ad-chase,2,0
ad-premier,4,1
ad-sept,1,0
ad-th,2,1
ad-clip,4,1
page,685,452
found,448,384
ad-animal,35,3
ad-wild,12,0
ad-sa,14,0
ad-official,49,11
ad-tourism,14,0
ad-website,37,5
ad-world,14,7
ad-finest,3,0
ad-alpaca,17,0
ad-breeder,21,2
ad-seller,1,0
ad-accoyo,1,0
ad-peruvian,1,0
ad-sunsethillsalpaca,1,0
ad-com,498,354
title-champion,1,0
title-alpaca,11,0
title-breed,9,1
title-sale,36,13
title-sunset,1,0
title-hill,2,3
title-farm,139,16
header-welcome,48,45
header-sunset,1,0
header-hill,2,0
header-farm,33,2
header-alpaca,3,0
champion,19,3
alpaca,38,1
breed,222,14
sale,363,90
sunset,9,3
hill,56,49
farm,379,53
home,983,826
herdsir,6,0
service,642,441
investment,34,20
info,367,206
record,107,58
degree,37,22
road,88,61
butler,2,5
pa,47,43
fax,58,54
sunsethillsalpaca,1,0
com,770,597
welcome,287,191
visit,266,257
national,90,74
day,490,365
saturday,31,19
september,64,99
fun,171,64
fill,125,89
family,428,297
meet,240,186
hay,118,38
ride,42,20
learn,428,479
seminar,16,49
information,568,743
establish,43,28
dr,215,200
david,21,22
laurye,1,0
feller,1,0
commit,30,50
finest,48,9
quality,364,184
accoyo,1,0
peruvian,5,0
careful,17,18
selection,143,72
top,383,270
genetics,24,57
world,257,155
nation,49,37
leader,32,83
award,82,41
win,69,70
multiple,82,143
color,128,113
blue,90,33
ribbon,10,0
zephyrus,1,0
jedi,1,0
polare,9,0
kilyo,1,0
star,60,39
andean,2,0
gold,47,21
snowmass,1,0
legend,11,3
maker,16,6
ngg,1,0
lional,1,0
lion,11,0
king,48,8
maharajah,1,0
usa,137,90
tr,6,3
cuarte,1,0
black,106,50
expresso,3,1
tempest,1,0
offer,470,353
unique,145,71
genetic,20,81
diversity,9,2
premier,28,13
bloodline,8,2
central,45,39
location,137,205
pride,32,9
ourself,49,10
ongo,24,90
attention,53,28
customer,489,216
call,358,459
love,282,151
alpca,1,0
de,60,53
moda,2,0
fashion,36,26
life,417,325
owner,260,35
breeder,112,6
association,73,69
pennsylvania,17,60
celebrity,23,30
futurity,1,0
breakfast,45,15
copyright,560,436
llc,112,57
reserve,537,506
ad-vet,155,3
ad-online,197,40
ad-veterinarian,143,0
ad-question,162,17
ad-answer,162,33
ad-asap,146,0
title-pet,186,4
title-veterinary,86,3
title-question,86,13
title-health,132,58
title-care,95,36
title-information,90,30
title-online,107,5
title-vet,83,0
title-answer,80,0
title-dog,125,5
title-cat,103,3
title-bird,81,1
title-fish,75,0
title-hamster,87,0
title-gerbil,73,0
title-ferret,83,0
title-reptile,79,0
title-horse,105,0
title-rabbit,132,27
title-animal,105,2
title-servername,86,0
title-www,88,4
header-veterinary,87,1
header-question,90,6
header-answer,93,2
header-asap,86,0
pet,435,87
veterinary,131,13
question,367,381
health,550,450
care,448,414
online,514,322
vet,195,7
answer,263,246
dog,393,41
cat,316,25
bird,260,18
fish,218,42
hamster,115,4
gerbil,92,3
ferret,128,5
reptile,147,2
horse,337,14
rabbit,188,32
animal,466,55
servername,86,0
www,440,186
register,406,211
login,322,92
help,693,681
asap,135,25
watch,209,94
video,506,276
category,399,105
legal,218,224
tax,174,24
law,161,31
immigration,86,0
employment,146,16
criminal,95,1
military,102,21
real,312,127
estate,173,20
canada,136,32
personal,284,149
injury,137,85
business,366,227
consumer,180,82
protection,153,81
bankruptcy,89,3
australia,165,32
intellectual,125,7
property,275,67
south,191,62
africa,104,7
zealand,95,10
republic,86,7
ireland,86,3
uk,141,25
scot,87,1
traffic,107,7
finance,136,75
financial,113,86
software,176,37
car,232,113
vehicle,143,33
bmw,91,22
motorcycle,89,5
merce,88,22
vw,91,28
volvo,87,22
audi,89,22
classic,145,23
jaguar,87,23
subaru,87,22
rv,106,9
kia,80,22
porsche,78,22
hyundai,79,22
mitsubishi,63,22
mazda,80,22
saab,79,22
boat,98,9
marine,109,4
electronics,188,31
chrysler,89,22
dodge,94,25
jeep,91,22
ford,105,36
mercury,97,26
lincoln,82,31
gmc,102,22
chevy,87,1
buick,87,22
pontiac,86,0
cadillac,87,22
saturn,86,0
honda,89,22
acura,87,22
toyota,88,23
lexus,87,22
nissan,88,22
infiniti,79,22
heavy,137,52
equipment,269,97
medical,206,429
dental,130,84
mental,130,83
pharmacy,140,14
ob,92,37
gyn,86,36
pediatrics,87,5
urology,86,2
eye,143,118
dermatology,88,5
oncology,78,10
neurology,78,5
bariatrics,78,0
plastic,114,48
surgery,117,210
management,280,252
appliance,116,35
improvement,151,57
electrical,102,33
engine,168,49
plumb,98,3
hvac,89,2
pool,93,11
spa,113,24
tv,228,38
camera,154,15
printer,153,12
office,177,251
exercise,243,171
cell,126,213
phone,337,231
electronic,123,57
musical,88,5
instrument,87,25
computer,204,58
education,124,118
network,158,232
mac,101,6
program,381,315
homework,90,12
math,90,2
french,119,18
spanish,107,14
german,103,11
write,219,55
relationship,132,47
parent,149,142
entertainment,129,26
wed,127,23
job,228,104
firearm,81,0
enter,290,192
subcategory,82,0
select,281,181
expert,249,199
character,119,21
left,161,105
veterinarian,216,12
jodi,81,0
lynn,92,3
smith,139,14
positive,117,48
feedback,228,190
accept,141,66
dvm,103,2
clinical,99,169
surgical,88,87
experience,282,274
exotics,85,0
http,180,47
ww,85,4
justanswer,123,10
upload,110,19
jodilynnsaleo,79,0
june,116,22
jpg,91,4
avatar,86,8
isudvm,74,0
phpnknjmr,74,0
pm,278,99
bruce,76,4
practical,97,33
er,51,9
practice,167,216
lpott,82,0
loretta,82,0
portrait,90,6
medicine,144,177
southernbadger,78,0
brett,101,1
christian,91,6
behavior,144,62
vetforyou,78,0
photo,345,121
andy,80,0
uc,79,25
dave,134,15
graduate,86,6
internal,104,49
pain,140,351
control,287,415
emergency,112,72
geriatrics,78,1
doggfone,82,0
pic,83,2
scott,87,8
ten,112,84
equine,173,4
pocket,121,26
pcbobber,73,0
doc,81,10
bob,97,9
professional,241,212
personally,92,5
concern,130,104
george,90,11
happy,173,76
google,237,53
search,553,471
favorite,292,47
list,435,264
kitty,90,1
mak,403,190
complete,267,160
bev,80,0
boca,79,0
raton,78,1
fl,129,11
outstand,122,10
response,156,103
time,517,451
minute,223,77
professionally,85,7
deal,288,112
compassion,77,6
kevin,102,1
beaverton,76,0
please,498,409
speed,139,51
advice,218,221
receive,281,267
add,312,193
try,364,237
continue,253,128
jan,117,8
spokane,85,1
wa,100,5
dollar,107,27
hour,239,138
drove,77,0
diagnosis,114,253
mark,183,61
thank,282,163
phil,78,2
marysville,79,0
ca,162,45
lurch,76,0
doubt,110,15
website,348,238
promptness,76,0
quick,264,90
followup,76,0
picture,172,86
incredible,145,11
charle,106,5
walnut,90,4
creek,127,12
wonderful,170,28
prompt,87,10
efficient,139,34
accurate,162,31
couldn,119,28
mary,114,12
freshfield,83,0
liverpool,86,0
truly,114,43
talk,198,150
actually,187,58
nerve,90,80
ease,124,57
alex,89,4
lo,172,42
angele,160,38
web,321,214
site,704,632
ve,299,140
various,145,72
specialist,119,146
hand,296,141
seen,136,87
spike,77,4
october,132,94
reader,164,24
layoff,76,0
unemployment,83,1
severance,76,0
leave,242,150
chance,136,129
rose,100,14
percent,110,31
nearly,124,53
view,466,289
inquiry,95,12
relate,260,257
stress,140,131
blood,153,219
pressure,120,112
drink,149,94
heart,199,156
jump,112,8
retire,78,7
nypd,71,0
mechanic,73,2
sign,515,401
san,113,43
francisco,94,12
base,254,172
five,142,63
eight,122,41
issue,206,144
rang,90,11
technical,101,34
check,362,220
light,154,60
protect,196,104
furry,92,2
friend,388,150
tap,103,12
fiona,76,0
fisher,82,1
roundup,76,0
common,209,275
household,110,14
food,565,259
item,384,78
pose,87,24
threat,91,16
belove,86,3
avoid,154,117
toxin,135,24
live,463,348
healthy,360,264
recent,234,105
alway,157,124
extremely,48,134
declaw,8,0
plus,214,117
bonus,82,2
stop,103,142
month,250,252
female,52,47
bite,49,15
short,86,106
haire,11,0
male,56,49
tell,240,196
career,208,145
term,611,494
privacy,837,682
security,206,78
affiliate,203,62
referral,96,27
create,360,249
corp,117,9
root,544,402
ad-rabbit,137,31
ad-guinea,11,0
ad-pig,37,13
ad-hutch,7,0
ad-deal,45,26
ad-save,144,50
ad-compare,53,13
ad-product,85,12
ad-price,78,42
ad-stor,47,8
ad-www,268,291
ad-shop,63,12
title-guinea,6,0
title-pig,21,2
title-hutch,7,0
title-product,79,52
title-review,54,37
title-compare,53,10
title-price,56,38
title-shop,71,20
title-com,171,118
header-rabbit,43,27
header-guinea,6,0
header-pig,17,2
header-hutch,6,0
guinea,85,7
pig,129,16
hutch,42,2
product,746,402
review,333,226
compare,149,113
price,458,147
shop,371,153
advertisement,111,127
cage,109,7
cloth,37,36
house,177,69
toy,157,45
ball,39,17
accessory,144,55
webkinz,3,0
harness,30,6
join,214,166
clothing,104,29
sho,76,15
kid,134,124
iphone,40,5
app,67,17
boy,75,38
girl,89,45
infant,64,71
toddler,53,66
women,175,250
cartridge,53,10
toner,49,7
flash,73,52
memory,67,39
monitor,93,70
pc,53,29
laptop,70,9
pda,44,10
camcorder,56,7
cellular,51,14
digital,87,51
gp,78,8
device,68,33
mp,70,21
player,96,39
flat,91,24
panel,77,48
television,74,11
speaker,66,49
subwoofer,45,7
buy,404,131
guide,277,189
furniture,103,25
garden,180,65
furnish,51,9
kitchen,119,35
supply,280,168
build,248,199
cosmetics,60,34
fragrance,69,15
aid,120,124
nutrition,206,163
baby,180,190
seat,67,48
crib,47,18
bassinet,44,8
stroller,58,20
game,194,95
sponsore,153,97
low,246,172
cost,158,219
tiny,32,13
smarter,30,7
habitat,89,3
cheap,82,23
spend,49,61
bottle,94,81
huge,85,22
nextag,29,6
size,290,158
style,123,95
fast,213,93
ship,403,194
rabbitcagesource,7,0
pamper,9,16
petsupply,16,0
shopzilla,36,7
line,173,327
fit,87,146
daily,186,179
americanpetdiner,1,0
result,370,350
peter,32,13
naturally,71,67
gift,219,81
set,223,112
organics,11,5
apple,72,18
grape,20,4
fruit,134,39
snack,63,46
oz,77,22
pack,111,55
personalize,60,35
read,366,355
age,138,292
deluxe,24,6
xdl,26,3
sordmx,3,0
aqumiepgwo,3,0
yzw,3,0
kit,139,47
stock,145,48
starter,28,12
plenty,38,31
little,175,154
critter,37,2
compact,34,30
dresser,7,0
counter,27,78
deep,39,47
prevent,127,214
b,81,9
scatter,10,1
white,136,108
wire,64,17
easy,324,178
superb,13,1
ventilation,14,21
includ,115,75
package,121,82
pine,34,7
pound,127,30
bunny,73,4
kabob,7,0
play,137,94
nutri,7,2
nibble,10,1
water,213,215
dish,58,14
instruction,73,22
ad,347,178
newly,42,28
valid,92,48
name,372,348
exist,98,53
save,338,291
reach,116,57
upper,50,37
limit,183,137
confirm,74,51
email,581,330
address,321,202
alert,107,53
oop,39,9
unable,65,35
invalid,72,41
choose,229,147
visibility,42,5
public,79,62
private,75,39
cancel,83,33
target,61,27
store,294,113
commercial,74,53
raise,164,36
hmgrp,1,0
pfmzaictpnmpx,1,0
free,695,563
available,375,342
american,214,118
eat,146,75
million,103,89
domestic,66,84
meat,129,28
rabbitry,7,1
producer,74,8
lend,15,3
type,237,352
production,92,78
pearly,2,0
fine,71,52
grain,78,21
palatable,3,0
nutritious,33,8
convenient,49,58
source,205,101
protein,116,57
fat,163,66
caloric,6,2
content,201,249
rabbitskin,2,0
value,129,108
grad,8,4
dress,67,25
dy,29,11
shear,15,3
fur,26,3
garment,13,1
trim,40,9
skin,234,198
slipper,8,2
glove,16,6
lin,3,6
shre,5,1
flesh,6,2
dry,121,79
separate,41,13
glue,4,9
relatively,14,24
volume,22,16
market,224,156
satisfactorily,2,0
increase,141,226
demand,37,35
laboratory,16,77
biological,14,16
purpose,134,180
opportunity,130,137
near,103,100
school,96,112
hospital,37,139
contribution,19,1
research,140,273
venereal,2,1
disease,173,512
cardiac,12,16
hypertension,17,46
virology,2,2
tool,212,216
pregnancy,35,161
infectious,6,41
development,75,149
hyperimmune,2,0
sera,2,1
antitoxin,2,0
teach,43,29
anatomy,8,48
physiology,17,7
industry,110,101
scientific,51,50
personnel,5,8
organ,14,53
tissue,30,147
specialize,39,83
availability,42,16
byproduct,5,1
greatly,34,13
facilitate,6,21
basic,52,140
amazon,95,24
kathryn,2,2
st,109,74
century,32,14
release,85,83
date,171,201
detail,178,128
money,147,121
pricegrabber,11,2
pethouse,3,0
follow,221,279
step,138,140
plan,218,231
send,216,89
monthly,58,52
guineapigsmonthly,1,0
pronto,74,6
petco,21,0
safe,153,174
haven,14,34
kotula,1,0
sl,5,4
fox,62,9
wzq,1,0
olobvkcoe,1,0
pkejhljg,1,0
story,224,148
flight,6,4
book,261,84
level,210,156
mcphail,1,0
irresistible,5,2
menagerie,3,0
simple,170,95
friendship,6,20
told,23,35
warmth,13,11
charm,23,8
humor,9,16
expect,67,124
acclaim,3,1
author,94,38
john,62,44
connor,1,1
whimsical,9,0
illustration,32,10
successfully,48,48
introduce,25,24
mind,115,98
emma,3,2
donoghue,1,0
woman,23,34
birth,74,134
stor,160,47
gbqlksu,1,0
smu,1,0
ibokkjpidq,1,0
design,272,300
rosette,2,0
entire,73,82
feature,348,200
scoop,31,12
neck,32,140
fringe,2,0
grey,6,2
fabric,13,3
pleate,1,0
sleeve,19,10
shift,12,31
silhouette,6,1
beautiful,94,50
option,152,324
plum,4,2
exaggerate,2,1
hound,10,1
