Term,Class 1 Frequency,Class -1 Frequency
ad-jerry,1,0
ad-bruckheimer,2,0
ad-chase,3,0
ad-premier,4,1
ad-sept,1,0
ad-th,2,1
ad-clip,4,1
page,1494,812
found,695,606
ad-animal,49,3
ad-wild,16,0
ad-sa,14,0
ad-official,49,12
ad-tourism,14,0
ad-website,50,5
ad-world,14,7
ad-finest,4,0
ad-alpaca,30,0
ad-breeder,31,2
ad-seller,1,0
ad-accoyo,1,0
ad-peruvian,1,0
ad-sunsethillsalpaca,1,0
ad-com,532,375
title-champion,1,0
title-alpaca,17,0
title-breed,11,1
title-sale,39,29
title-sunset,1,0
title-hill,2,3
title-farm,157,16
header-welcome,48,58
header-sunset,1,0
header-hill,3,0
header-farm,34,2
header-alpaca,3,0
champion,32,3
alpaca,317,1
breed,1140,49
sale,1591,886
sunset,28,4
hill,89,76
farm,2631,169
home,2825,2542
herdsir,8,0
service,1447,1324
investment,43,39
info,2251,530
record,128,78
degree,91,42
road,113,147
butler,2,10
pa,120,186
fax,75,64
sunsethillsalpaca,1,0
com,5736,2383
welcome,349,260
visit,1289,568
national,173,99
day,1839,1079
saturday,51,30
september,190,189
fun,346,161
fill,278,109
family,1784,720
meet,316,281
hay,322,55
ride,69,43
learn,930,1160
seminar,43,264
information,1350,2020
establish,52,35
dr,1556,610
david,34,34
laurye,1,0
feller,1,0
commit,32,56
finest,92,9
quality,764,422
accoyo,4,0
peruvian,17,0
careful,25,18
selection,269,205
top,975,598
genetics,40,69
world,503,293
nation,63,59
leader,37,90
award,126,59
win,109,93
multiple,110,193
color,451,262
blue,244,160
ribbon,26,0
zephyrus,1,0
jedi,2,0
polare,9,0
kilyo,1,0
star,152,83
andean,2,0
gold,75,188
snowmass,2,0
legend,13,3
maker,54,6
ngg,1,0
lional,1,0
lion,21,0
king,138,14
maharajah,1,0
usa,223,232
tr,11,3
cuarte,1,0
black,287,206
expresso,3,1
tempest,1,0
offer,1137,752
unique,199,96
genetic,49,127
diversity,11,2
premier,63,14
bloodline,11,2
central,58,89
location,242,441
pride,47,9
ourself,78,13
ongo,33,104
attention,67,37
customer,861,391
call,1235,1001
love,802,380
alpca,1,0
de,291,146
moda,2,0
fashion,50,37
life,1268,659
owner,486,80
breeder,191,7
association,145,94
pennsylvania,21,104
celebrity,43,39
futurity,1,0
breakfast,78,23
copyright,674,496
llc,209,186
reserve,585,543
ad-vet,164,3
ad-online,356,44
ad-veterinarian,145,0
ad-question,163,18
ad-answer,162,34
ad-asap,146,0
title-pet,230,5
title-veterinary,91,3
title-question,86,13
title-health,135,60
title-care,97,47
title-information,90,30
title-online,107,5
title-vet,83,0
title-answer,80,0
title-dog,137,7
title-cat,105,3
title-bird,81,3
title-fish,75,0
title-hamster,87,0
title-gerbil,73,0
title-ferret,83,0
title-reptile,79,0
title-horse,121,0
title-rabbit,144,40
title-animal,105,2
title-servername,86,0
title-www,88,5
header-veterinary,87,1
header-question,93,7
header-answer,93,2
header-asap,86,0
pet,5038,380
veterinary,1870,48
question,1496,664
health,2993,3016
care,1561,1532
online,1215,474
vet,447,35
answer,1354,368
dog,3690,414
cat,2487,211
bird,1299,115
fish,470,91
hamster,217,11
gerbil,141,8
ferret,346,9
reptile,1041,100
horse,1502,120
rabbit,3336,1016
animal,2540,226
servername,86,0
www,1962,804
register,704,284
login,438,126
help,3079,2148
asap,139,25
watch,318,230
video,1208,1004
category,921,200
legal,677,438
tax,712,48
law,4364,52
immigration,337,0
employment,416,18
criminal,202,2
military,195,36
real,712,389
estate,469,170
canada,269,183
personal,673,197
injury,242,159
business,1134,518
consumer,382,157
protection,286,140
bankruptcy,326,3
australia,453,34
intellectual,222,11
property,682,265
south,340,177
africa,196,35
zealand,197,13
republic,163,15
ireland,161,3
uk,2343,36
scot,170,1
traffic,267,8
finance,246,94
financial,210,182
software,313,64
car,1337,212
vehicle,237,94
bmw,177,22
motorcycle,172,5
merce,170,22
vw,175,114
volvo,170,22
audi,173,22
classic,377,38
jaguar,169,23
subaru,169,22
rv,192,9
kia,157,22
porsche,152,22
hyundai,153,22
mitsubishi,121,22
mazda,162,22
saab,153,22
boat,198,11
marine,210,9
electronics,695,47
chrysler,207,22
dodge,180,25
jeep,203,22
ford,397,37
mercury,190,29
lincoln,156,37
gmc,201,22
chevy,169,1
buick,169,22
pontiac,168,0
cadillac,169,22
saturn,168,0
honda,187,22
acura,169,22
toyota,188,23
lexus,169,22
nissan,339,22
infiniti,155,22
heavy,284,74
equipment,838,390
medical,663,1206
dental,269,1634
mental,235,136
pharmacy,284,24
ob,174,57
gyn,168,54
pediatrics,170,142
urology,168,4
eye,308,660
dermatology,251,5
oncology,152,12
neurology,152,8
bariatrics,152,0
plastic,296,88
surgery,480,772
management,570,466
appliance,712,74
improvement,255,86
electrical,194,38
engine,353,152
plumb,358,6
hvac,172,2
pool,173,24
spa,210,24
tv,506,49
camera,294,17
printer,243,12
office,315,428
exercise,562,359
cell,224,493
phone,871,457
electronic,247,130
musical,165,12
instrument,166,45
computer,511,125
education,241,268
network,276,330
mac,188,8
program,1141,943
homework,188,12
math,174,2
french,290,107
spanish,201,33
german,248,48
write,577,159
relationship,227,67
parent,352,570
entertainment,241,28
wed,228,61
job,413,183
firearm,155,0
enter,1368,461
subcategory,82,0
select,523,292
expert,1004,360
character,169,24
left,180,133
veterinarian,1293,21
jodi,325,0
lynn,256,4
smith,358,23
positive,754,79
feedback,1021,231
accept,764,81
dvm,205,3
clinical,190,464
surgical,172,139
experience,853,476
exotics,167,0
http,950,153
ww,587,7
justanswer,1582,10
upload,655,91
jodilynnsaleo,79,0
june,243,66
jpg,691,143
avatar,597,9
isudvm,74,0
phpnknjmr,74,0
pm,603,695
bruce,152,7
practical,139,42
er,62,24
practice,254,319
lpott,82,0
loretta,251,0
portrait,90,8
medicine,509,424
southernbadger,78,0
brett,102,1
christian,173,10
behavior,251,103
vetforyou,78,0
photo,827,444
andy,158,0
uc,79,59
dave,140,17
graduate,100,14
internal,169,66
pain,334,2565
control,510,920
emergency,180,144
geriatrics,78,1
doggfone,82,0
pic,83,2
scott,183,12
ten,121,90
equine,356,26
pocket,146,40
pcbobber,73,0
doc,152,20
bob,193,16
professional,546,385
personally,171,5
concern,219,137
george,333,14
happy,343,148
google,348,79
search,1739,1163
favorite,541,91
list,12858,1718
kitty,179,1
mak,804,320
complete,539,246
bev,158,0
boca,157,0
raton,156,1
fl,327,24
outstand,131,11
response,253,131
time,2372,1172
minute,272,120
professionally,90,9
deal,716,256
compassion,82,6
kevin,107,1
beaverton,80,0
please,3959,1225
speed,173,133
advice,503,346
receive,1427,490
add,1866,610
try,1739,552
continue,421,170
jan,120,11
spokane,87,4
wa,113,5
dollar,118,30
hour,336,325
drove,77,0
diagnosis,136,478
mark,267,75
thank,851,359
phil,78,2
marysville,79,0
ca,673,121
lurch,76,0
doubt,111,15
website,1060,433
promptness,76,0
quick,485,128
followup,76,0
picture,259,120
incredible,213,17
charle,113,7
walnut,127,10
creek,250,18
wonderful,294,43
prompt,88,11
efficient,145,38
accurate,176,65
couldn,219,46
mary,116,15
freshfield,83,0
liverpool,86,0
truly,119,49
talk,256,255
actually,310,77
nerve,94,319
ease,129,117
alex,95,7
lo,359,131
angele,324,124
web,587,349
site,1711,1401
ve,546,233
various,181,88
specialist,146,246
hand,496,294
seen,175,98
spike,78,4
october,208,178
reader,283,58
layoff,76,0
unemployment,85,1
severance,76,0
leave,275,235
chance,184,197
rose,153,32
percent,198,68
nearly,136,69
view,1491,770
inquiry,99,13
relate,493,384
stress,194,282
blood,261,705
pressure,164,210
drink,293,160
heart,369,385
jump,175,15
retire,80,10
nypd,71,0
mechanic,73,4
sign,862,831
san,136,54
francisco,107,16
base,462,264
five,169,78
eight,142,41
issue,379,236
rang,90,12
technical,110,43
check,717,408
light,334,143
protect,275,169
furry,107,2
friend,817,268
tap,103,42
fiona,79,0
fisher,82,1
roundup,76,0
common,331,466
household,116,21
food,2950,1018
item,2889,344
pose,96,27
threat,102,16
belove,90,4
avoid,185,155
toxin,241,37
live,1358,831
healthy,1069,695
recent,284,165
alway,233,202
extremely,67,175
declaw,8,0
plus,375,202
bonus,107,2
stop,162,268
month,567,752
female,127,70
bite,74,31
short,165,152
haire,13,0
male,105,125
tell,296,319
career,249,212
term,882,742
privacy,1075,955
security,396,105
affiliate,280,77
referral,97,37
create,4358,759
corp,148,12
root,1895,1280
ad-rabbit,245,46
ad-guinea,20,0
ad-pig,57,22
ad-hutch,10,0
ad-deal,45,31
ad-save,147,54
ad-compare,56,14
ad-product,88,13
ad-price,80,53
ad-stor,47,8
ad-www,271,294
ad-shop,65,12
title-guinea,6,0
title-pig,21,2
title-hutch,9,0
title-product,80,56
title-review,54,37
title-compare,53,10
title-price,57,39
